nombre_documento,fecha_contenido
acta-22-del-miercoles-28-de-abril-de-2021.pdf,2021-04-28
acta-22-martes-08-de-noviembre-de-2016.pdf,2016-11-08
acta-22-martes-12-de-junio-de-2018.pdf,2018-06-12
acta-22-miercoles-17-de-mayo-de-2017.pdf,2017-05-17
acta-23-del-martes-02-de-julio-de-2024.pdf,2024-07-02
acta-23-del-martes-04-de-mayo-de-2021.pdf,2021-05-04
acta-23-del-martes-16-de-noviembre-de-2021.pdf,2021-11-16
acta-23-del-martes-16-de-octubre-de-2018.pdf,2018-10-16
acta-23-del-martes-19-de-noviembre-de-2024.pdf,2024-11-19
acta-23-del-martes-22-de-noviembre-de-2022.pdf,2022-11-22
acta-23-del-martes-28-de-noviembre-de-2023.pdf,2023-11-28
acta-23-del-miercoles-04-de-diciembre-de-2019.pdf,2019-12-04
acta-23-del-miercoles-10-de-mayo-de-2023.pdf,2023-05-10
acta-23-del-miercoles-15-de-noviembre-de-2017.pdf,2017-11-15
acta-23-del-miercoles-25-de-mayo-de-2022.pdf,2022-05-25
acta-23-del-miercoles-28-de-octubre-de-2020.pdf,2020-10-28
acta-23-martes-08-de-noviembre-de-2016.pdf,2016-11-08
acta-23-martes-19-de-junio-de-2018.pdf,2018-06-19
acta-23-martes-23-de-mayo-de-2017.pdf,2017-05-23
acta-24-del-jueves-11-de-mayo-de-2023.pdf,2023-05-11
acta-24-del-martes-09-de-julio-de-2024.pdf,2024-07-09
acta-24-del-martes-23-de-noviembre-de-2021.pdf,2021-11-23
acta-24-del-martes-23-de-octubre-de-2018.pdf,2018-10-23
acta-24-del-martes-28-de-noviembre-de-2024.pdf,2024-11-28
acta-24-del-martes-29-de-noviembre-de-2022.pdf,2022-11-29
acta-24-del-martes-31-de-mayo-de-2022.pdf,2022-05-31
acta-24-del-miercoles-05-de-mayo-de-2021.pdf,2021-05-05
acta-24-del-miercoles-11-de-diciembre-de-2019.pdf,2019-12-11
acta-24-del-miercoles-20-de-noviembre-de-2024.pdf,2024-11-20
acta-24-del-miercoles-28-de-octubre-de-2020.pdf,2020-10-28
acta-24-martes-21-de-noviembre-de-2017.pdf,2017-11-21
